ran	Running
weight lifting	Dead lifts
squats	Squats
curled	Bicep Curl
cycled	Bicycling
tennis	Tennis
push ups	Push ups
walked	Walking
ran	Running
biked	Bicycling
ran	Running
walk	Walking
elliptical machine	Elliptical Machine
push - ups	Push ups
exercise bike	Bicycling
ran uphill	Running
weights	Weights, general
bicycle crunches	Abdominal Crunches
ran	Running
deadlift	Dead lifts
HIT workout	Interval Training
chest press	Bench press
breathing exercise	Yoga
aerobics	Aerobics
situps	Sit Ups
ran	Running
walked	Walking
golf	Golf
jogged	Jogging
walked	Walking
walked	Walking
lifted	Weights, general
stretched	Stretching
walked	Walking
wheelchair	Other
water exercise	Water Aerobics
walked	Walking
Curves circuit	Exercise Class
elliptical machine	Elliptical Machine
pilates class	Pilates
zumba classes	Aerobics
hike	Hiking
basketball	Basketball
indoor soccer	Soccer
jogged	Jogging
swam	Swimming
CYCLING	Bicycling
SKIPPING	Skipping
Walked	Walking
Ran	Running
lifted	Weights, general
ran	Running
bike	Bicycling
weights	Weights, general
walk	Walking
lifted	Weights, general
ran	Running
deadlifted	Dead lifts
walked	Walking
hiked	Hiking
elliptical	Elliptical Machine
walked	Walking
walked	Walking
swimming	Swimming
walked	Walking
walked	Walking
Run	Running
Sit up	Sit Ups
push ups	Push ups
crunches	Abdominal Crunches
barbell class	Weights, general
lifted	Weights, general
Dumbbell curls	Bicep Curl
workout video	Aerobics
cycled	Bicycling
walked	Walking
ran	Running
arms	Bicep Curl
ran	Running
weight lifting	Weights, general
hiked	Hiking
elliptical	Elliptical Machine
maxed out	Squats
ran	Running
hiked	Hiking
crunches	Abdominal Crunches
Ran	Running
Lifting weights	Weights, general
ran seven miles	Running
high intensity training	Interval Training
upper body workout	Weights, general
yoga	Yoga
BASKETBALL	Basketball
PUSH UPS	Push ups
jumping jacks	Jumping Jacks
push ups	Push ups
ran	Running
lift weights	Weights, general
bike ride	Bicycling
exercise bike	Bicycling
kickboxing	Martial Arts
lifted	Weights, general
elliptical	Elliptical Machine
hiking	Hiking
basketball	Basketball
swam	Swimming
running	Running
weight lifting	Weights, general
ran	Running
free body and weighted exercises	Bodyweight exercises, general
swam	Swimming
walk	Walking
jumping jacks	Jumping Jacks
ran	Running
squats	Squats
dead lifts	Dead lifts
barbell squats	Squats
Swam	Swimming
jogged	Jogging
tennis	Tennis
walked	Walking
ran	Running
Yoga	Yoga
Running	Running
walked	Walking
yoga	Yoga
jogged	Jogging
squat thrusts	Other
WALK	Walking
GOLF	Golf
walked	Walking
biked	Bicycling
ran	Running
yoga	Yoga
danced	Dancing
push - ups	Push ups
ran	Running
planks	Planking
walk	Walking
basketball	Basketball
ran	Running
insanity workout	Interval Training
ran	Running
ran	Running
split squats	Lunges
chest press	Bench press
running	Running
weight lifting	Weights, general
Basketball	Basketball
Walked	Walking
pushups	Push ups
situps	Sit Ups
stairs	Stair Climbing
weights	Weights, general
ran	Running
swam	Swimming
ran	Running
crosfit	Interval Training
walked	Walking
lifted weights	Weights, general
walked	Walking
hiked	Hiking
ran	Running
bike	Bicycling
free weights	Weights, general
treadmill	Running
skipping	Jumping Jacks
jogging	Jogging
elliptical	Elliptical Machine
treadmill	Running
walk	Walking
bike ride	Bicycling
SKIP	Skipping
SKIPPING	Skipping
walked	Walking
push ups	Push ups
Running	Running
Swim	Swimming
chest workout	Bench press
basketball	Basketball
swam	Swimming
tennis	Tennis
ran	Running
weights	Weights, general
cycling	Bicycling
swim	Swimming
ran	Running
biked	Bicycling
ran	Running
sit ups	Sit Ups
squats	Squats
cross country skiing	Skiing
ran	Running
weight lifted	Weights, general
rode	Bicycling
ran	Running
hiked	Hiking
biked	Bicycling
ran	Running
chinups	Chin ups
PLAYED FOOTBALL	American Football
SWIMMING	Swimming
netball game	Netball
power walked	Power walking
Ran	Running
Walked	Walking
squats	Squats
planked	Planking
walked	Walking
sit - ups	Sit Ups
stairmaster	Stair Climbing
swam	Swimming
ran	Running
archery	Archery
squats	Weights, general
bench press	Bench press
Running	Running
Hiked	Hiking
ran	Running
push - ups	Push ups
walked	Walking
run	Running
ran	Elliptical Machine
bench press	Weights, general
swam	Swimming
jogging	Jogging
elliptical	Elliptical Machine
elliptical	Elliptical Machine
Ab workout	Abdominal Crunches
Butt workout	Lunges
ran	Running
push - ups	Push ups
Bench press	Bench press
Squats	Squats
walked	Walking
arm workout	Bicep Curl
lifted weights	Weights, general
jogging	Jogging
volleyball	Volleyball
ran	Running
Functional Training	Other
Hydrogymnastics	Other
sit ups	Sit Ups
russian twists	Abdominal Crunches
spin class	Exercise Class
walked	Walking
ran	Running
deadlifted	Dead lifts
running	Running
swimming	Swimming
swam	Swimming
walked	Walking
sit - ups	Jogging
  jog	Sit Ups
brisk walk	Walking
volley ball	Volleyball
ran	Running
yoga	Yoga
Al Split Squat 8 / side	Squats
ran	Running
tennis match	Tennis
decathlon	Running
high intensity training	Interval Training
ran	Running
ran	Running
push - ups	Push ups
run	Running
football	American Football
badminton	Badminton
push - ups	Push ups
run	Running
swam	Swimming
situps	Sit Ups
basketball game	Basketball
walked	Walking
ran	Running
pushups	Push ups
jogged	Jogging
treadmill	Treadmill
walked	Walking
riding my recumbent bike	Bicycling
running	Running
run	Running
run	Running
bench press	Bench press
rowing machine	Rowing
run	Running
weight	Weights, general
push - ups	Push ups
walk	Walking
step machine	Stair Climbing
squats	Squats
Zumba	Zumba
Treadmill	Treadmill
Kickboxing	Kickboxing
lifting weights	Bench press
exercise bike	Bicycling
walked	Walking
squats	Squats
bicep curls	Bicep Curl
JOGGING	Bicycling
WEIGHT LIFT	Hiking
cycled	Bicycling
lifted weights	Dead lifts
ran	Running
squats	Squats
Pull Ups	Pull ups
Bench Press	Bench press
deadlifts	Dead lifts
ran	Running
barbell squats	Squats
martial arts	Kickboxing
pull ups	Pull ups
cobra stretch	Stretching
cycling	Bicycling
tennis	Tennis
push ups	Push ups
Bench press	Bench press
basketball	Basketball
stomach crunches	Abdominal Crunches
pushups	Push ups
yoga	Yoga
running	Running
cardio	Exercise Class
jumping jacks	Body weight exercises, general
ran	Running
walk	Walking
cycling	Bicycling
push ups	Push ups
sit ups	Sit Ups
beat saber	Other
presses	Weights, general
HIIT	Interval Training
ran	Running
stairclimb	Stair Climbing
eliptical	Elliptical Machine
raked	Other
hiked	Hiking
rode	Bicycling
walked	Walking
curls	Bicep Curl
bike	Bicycling
leg lifts	Body weight exercises, general
push ups	Push ups
jogged	Jogging
jumping jacks	Jumping Jacks
basketball	Basketball
walk	Walking
treadmill	Treadmill
weight	Weights, general
lifted	Weights, general
walked	Walking
walked	Walking
yoga	Yoga
yoga	Yoga
walked	Walking
roller derby	Roller Derby
ran	Running
bench press	Bench press
jumped rope	Aerobics
deadlift	Dead lifts
swam	Swimming
jogging	Bicycling
cycling	Jogging
ran	Running
swam	Swimming
bicep curls	Bicep Curl
ab crunches	Abdominal Crunches
walked	Walking
weight machines	Weights, general
pushups	Push ups
crunches	Sit Ups
run	Running
ran	Running
walked	Walking
biked	Bicycling
walking	Walking
Lunges	Lunges
CRICKET GAME	Cricket
WALKED	Walking
jiu - jitsu	Martial Arts
handball	Handball
walking	Walking
running	Running
JUMPING JACK	Jumping Jacks
PUSH UPS	Push ups
WALKED	Walking
ARM EXERCISES	Bicep Curl
volleyball	Volleyball
yoga session	Yoga
squats	Squats
ran	Running
JUMPING JACK	Jumping Jacks
PUSH UPS	Push ups
stair climber	Stair Climbing
squats	Squats
squats	Squats
sit ups	Sit Ups
walked	Walking
aerobics video	Aerobics
elliptical	Elliptical Machine
walked	Walking
Ran	Running
crunches	Abdominal Crunches
cardio	Cardio
walking	Walking
jump	Jumping Jacks
basketball	Basketball
cycled	Bicycling
hiked	Hiking
WALKED	Walking
SITTUPS	Sit Ups
ran	Running
walked	Walking
benchpressed	Bench press
squats	Squats
sit ups	Sit Ups
pull up	Pull ups
yoga	Yoga
bike ride	Bicycling
yoga	Yoga
walked	Walking
run	Running
yoga	Yoga
yoga	Yoga
tennis	Tennis
squatted	Squats
rode	Bicycling
rode	Bicycling
tennis	Tennis
ran	Running
Nike workout	Exercise Class
weights	Weights, general
hiked	Hiking
walked	Hiking
bench press	Bench press
burpees	Burpees
pushups	Push ups
bike	Bicycling
walked	Walking
burpees	Burpees
run	Running
walked	Walking
pull ups	Pull ups
walked	Hiking
cycled	Bicycling
basketball	Basketball
walked	Walking
push ups	Push ups
sit ups	Sit Ups
ran	Running
biked	Bicycling
stairs	Stair Climbing
walked	Walking
running	Running
jumping	Other
bench press	Bench press
planks	Planking
Walk	Walking
Squats	Squats
aerobics	Aerobics
walking	Walking
push - ups	Push ups
walked	Walking
bench presses	Bench press
lunges	Lunges
tennis	Tennis
hike	Hiking
bench press	Bench press
pull up	Pull ups
walked	Walking
rode	Bicycling
walked	Walking
bounced	Aerobics
volleyball	Volleyball
climbing	Rock climbing
jumping jacks	Jumping Jacks
basketball	Basketball
walked	Walking
rode	Bicycling
AudioShield	Aerobics
planks	Planking
walked	Walking
yoga	Yoga
jumping jacks	Jumping Jacks
ran	Running
pushups	Push ups
situps	Sit Ups
racquet ball	Squash
lifted weights	Bench press
yoga	Yoga
ran	Running
ran	Running
lifted	Weights, general
danced	Aerobics
Jogged	Jogging
bench press	Bench press
squatted	Squats
walked	Walking
